what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1517868754828
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1517868754829
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1517868754829
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1517868754829
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1517868754833
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1517868754833
started,bundle,org.eclipse.uml2.uml,3.2.100.v201108110105,"org.eclipse.uml2.uml",1517868754838
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1517868754838
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1517868754852
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1517868754853
started,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1517868754891
started,bundle,com.soyatec.diagrams,3.7.1.20110624,"com.soyatec.diagrams",1517868754892
os,sysinfo,,,"win32",1517868754895
arch,sysinfo,,,"x86_64",1517868754895
ws,sysinfo,,,"win32",1517868754895
locale,sysinfo,,,"en_US",1517868754895
processors,sysinfo,,,"4",1517868754895
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1517868754895
java.runtime.version,sysinfo,,,"1.8.0_151-b12",1517868754895
java.specification.name,sysinfo,,,"Java Platform API Specification",1517868754895
java.specification.vendor,sysinfo,,,"Oracle Corporation",1517868754895
java.specification.version,sysinfo,,,"1.8",1517868754895
java.vendor,sysinfo,,,"Oracle Corporation",1517868754895
java.version,sysinfo,,,"1.8.0_151",1517868754895
java.vm.info,sysinfo,,,"mixed mode",1517868754895
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1517868754895
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1517868754895
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1517868754895
java.vm.specification.version,sysinfo,,,"1.8",1517868754895
java.vm.vendor,sysinfo,,,"Oracle Corporation",1517868754895
java.vm.version,sysinfo,,,"25.151-b12",1517868754895
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1517868755545
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1517868757058
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1517868761988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517868765329
